x,y,z
0,0.075,0
1,0.075,0
2,0.075,0
3,0.075,0
4,0.075,0
5,0.075,0
0,0.225,0
1,0.225,0
2,0.225,0
3,0.225,0
4,0.225,0
5,0.225,0
0,0.3,0.1299038106
1,0.3,0.1299038106
2,0.3,0.1299038106
3,0.3,0.1299038106
4,0.3,0.1299038106
5,0.3,0.1299038106
0,0.225,0.2598076211
1,0.225,0.2598076211
2,0.225,0.2598076211
3,0.225,0.2598076211
4,0.225,0.2598076211
5,0.225,0.2598076211
0,0.075,0.2598076211
1,0.075,0.2598076211
2,0.075,0.2598076211
3,0.075,0.2598076211
4,0.075,0.2598076211
5,0.075,0.2598076211
0,0,0.1299038106
1,0,0.1299038106
2,0,0.1299038106
3,0,0.1299038106
4,0,0.1299038106
5,0,0.1299038106
